1136,100,3,1,47,1136_40130.10907392_11_13_3_1_47.wav
1136,100,4,40,3,1136_40130.16803997_11_13_4_40_3.wav
1136,100,5,12,57,1136_40130.18777681_11_13_5_12_57.wav
1136,100,5,57,8,1136_40130.21428466_11_13_5_57_8.wav
1136,153,14,12,38,1136_40183.51158986_1_5_14_12_38.wav
1136,153,14,40,24,1136_40183.52824983_1_5_14_40_24.wav
1136,153,15,5,13,1136_40183.54313135_1_5_15_5_13.wav
1136,153,15,38,13,1136_40183.56293019_1_5_15_38_13.wav
1136,153,16,9,3,1136_40183.58143887_1_5_16_9_3.wav
1136,153,17,11,21,1136_40183.61881124_1_5_17_11_21.wav
1136,153,17,33,50,1136_40183.63230767_1_5_17_33_50.wav
1592,54,7,54,51,r1592_41540.28491828_9_23_7_54_51.wav
1592,54,9,6,39,r1592_41540.32799468_9_23_9_6_39.wav
1592,54,10,51,35,r1592_41540.39095109_9_23_10_51_35.wav
1592,54,12,48,32,r1592_41540.46112062_9_23_12_48_32.wav
1592,54,14,50,23,r1592_41540.53423687_9_23_14_50_23.wav
1592,54,18,20,47,r1592_41540.66047281_9_23_18_20_47.wav
1592,91,7,4,44,r1592_41577.25484484_10_30_7_4_44.wav
1592,91,7,24,35,r1592_41577.26675015_10_30_7_24_35.wav
1592,91,9,40,6,r1592_41577.34806109_10_30_9_40_6.wav
1592,91,11,48,5,r1592_41577.42485468_10_30_11_48_5.wav
1592,91,14,51,30,r1592_41577.5349064_10_30_14_51_30.wav
1592,91,18,6,57,r1592_41577.65217093_10_30_18_6_57.wav
1592,91,20,19,2,r1592_41577.73142109_10_30_20_19_2.wav
